ImageNumber	ObjectNumber	FileName_CellLabels	FileName_DNA	FileName_NucleiLabels	FileName_PLA	FileName_PLALabels	PathName_CellLabels	PathName_DNA	PathName_NucleiLabels	PathName_PLA	PathName_PLALabels	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	Children_PLA_dots_Count	Location_Center_X	Location_Center_Y
1	1	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	6661	1.364.979.732.772.850	7.973.907.821.648.400	26	1.364.979.732.772.850	7.973.907.821.648.400
1	2	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	8941	21.051.795.101.219.100	9.590.314.282.518.730	56	21.051.795.101.219.100	9.590.314.282.518.730
1	3	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	3860	14.661.347.150.259.000	15.547.176.165.803.100	23	14.661.347.150.259.000	15.547.176.165.803.100
1	4	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	13561	3.116.647.002.433.440	16.104.166.359.413.000	90	3.116.647.002.433.440	16.104.166.359.413.000
1	5	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	6255	10.704.204.636.290.900	19.166.714.628.297.300	63	10.704.204.636.290.900	19.166.714.628.297.300
1	6	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	7216	22.332.802.106.430.100	19.776.552.106.430.100	55	22.332.802.106.430.100	19.776.552.106.430.100
1	7	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	6793	1.434.249.963.197.400	25.625.982.629.177.000	49	1.434.249.963.197.400	25.625.982.629.177.000
1	8	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	10599	30.671.421.832.248.300	28.184.583.451.268.900	79	30.671.421.832.248.300	28.184.583.451.268.900
1	9	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	6487	3.993.802.990.596.570	28.862.571.296.439.000	44	3.993.802.990.596.570	28.862.571.296.439.000
1	10	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	12562	25.117.489.253.303.600	33.162.617.417.608.600	116	25.117.489.253.303.600	33.162.617.417.608.600
